id,title,description,price,currency,image_url,brand,condition,availability,google_product_category,link
COS-001,ABONIKI,Aboniki,2.84,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/COS-001.jpg?v=2,Africomfort Foods,new,in stock,Cosmetics,https://africomfort-foods.odoo.com/shop/product/5610
FAR-001,AFP FUFU POTATO FLAKES / Purée 10kg,Afp fufu potato flakes / purée 10kg,39.81,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-001.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5487
FAR-002,AFP FUFU POTATO FLAKES / Purée 5kg,Afp fufu potato flakes / purée 5kg,20.85,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-002.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5488
VIPO-001,Abodi (1kg),Abodi (1kg),6.64,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/VIPO-001.jpg?v=2,Africomfort Foods,new,in stock,Fresh Meat,https://africomfort-foods.odoo.com/shop/product/5443
BOI-002,Action Bitter,Action bitter,4.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/BOI-002.jpg?v=2,Africomfort Foods,new,in stock,Beverages,https://africomfort-foods.odoo.com/shop/product/5504
GOU-001,African Beauty ChinChin 80 gram,African beauty chinchin 80 gram,0.95,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/GOU-001.jpg?v=2,Africomfort Foods,new,in stock,snacks,https://africomfort-foods.odoo.com/shop/product/5464
HUI-001,African Beauty Palm oil 2L,African beauty palm oil 2l,9.48,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/HUI-001.jpg?v=2,Africomfort Foods,new,in stock,oils,https://africomfort-foods.odoo.com/shop/product/5462
HUI-013,African Beauty Palm oil 4.5L,African beauty palm oil 4.5l,18.96,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/HUI-013.jpg?v=2,Africomfort Foods,new,in stock,oils,https://africomfort-foods.odoo.com/shop/product/5664
FAR-004,African Beauty Pounded Yam (20kg),African beauty pounded yam (20kg),56.87,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-004.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5420
FAR-005,African Beauty Poundo (4kg),African beauty poundo (4kg),15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-005.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5498
FAR-006,African Beauty Poundo (8kg),African beauty poundo (8kg),30.33,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/FAR-006.jpg?v=2,Africomfort Foods,new,in stock,Powder and beans,https://africomfort-foods.odoo.com/shop/product/5449
DEJ-001,Agege Bread,Agege bread,3.79,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/DEJ-001.jpg?v=2,Africomfort Foods,new,in stock,Breakfast,https://africomfort-foods.odoo.com/shop/product/5474
RINOU-001,Akash Sella Basmati (20KG),Akash sella basmati (20kg),47.39,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-001.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5410
RINOU-002,Akash Sella Basmati (5KG),Akash sella basmati (5kg),15.17,EUR,https://gabrielolugbenga.github.io/africomfort-catalog/images/RINOU-002.jpg?v=2,Africomfort Foods,new,in stock,Rice & Noodles,https://africomfort-foods.odoo.com/shop/product/5411
